Method,Avg Acc (%),Avg Acc Mean,Avg Acc Std,Std Dev (%),Std Dev Mean,Min Acc (%),Max Acc (%),Sparsity (%),Sparsity Mean,Cluster 0 (%),Cluster 1 (%),Cluster 2 (%),N Seeds,_raw_accs,Goodness_Score
CAAFP_HYBRID_70,91.51 ± 0.80,0.9150692621866863,0.007972863811842062,12.17 ± 0.71,0.1216820285579158,53.85,100.00,69.96 ± 0.00,0.6995535714285714,86.98,94.39,95.60,5,"[0.9009953419367472, 0.9141262392203013, 0.9213592708110809, 0.9239727934201558, 0.9148926655451457]",0.8393891677358711
LAZAR_70,90.21 ± 1.07,0.9020634939273199,0.010725495406989178,13.79 ± 0.77,0.13790346523591251,45.38,100.00,70.00 ± 0.00,0.7,N/A,N/A,N/A,5,"[0.9125351736942927, 0.9075655897458395, 0.8821568777163823, 0.9079824537038803, 0.9000773747762044]",0.8294543580001541
FLCAP_MASK_CLUSTER,86.92 ± 1.92,0.8692233664294083,0.019248952055913017,19.40 ± 3.79,0.19401486800021975,15.38,100.00,70.04 ± 0.00,0.7004464285714286,85.69,99.66,98.21,4,"[0.9023788462082545, 0.8549511720736821, 0.8591421864926815, 0.8604212609430154]",0.799618814743126
FEDCHAR,90.82 ± 0.76,0.9081723060210546,0.007589344768464367,13.74 ± 1.10,0.13735370040528422,41.54,100.00,0.00 ± 0.00,0.0,86.15,94.58,93.93,5,"[0.9090453714132309, 0.9169718205928803, 0.8968595772981643, 0.9026491085688273, 0.9153356522321701]",0.6220628122868366
FEDMEF_70,39.09 ± 2.02,0.3909128670518597,0.020208670540056504,37.73 ± 2.27,0.3773369599713879,0.00,99.23,69.96 ± 0.00,0.6995535714285714,N/A,N/A,N/A,5,"[0.37777175654967626, 0.3967461020996173, 0.40598212045927845, 0.3589427270616094, 0.41512162908911704]",0.5530301302578989
