Method,Avg Acc (%),Avg Acc Mean,Avg Acc Std,Std Dev (%),Std Dev Mean,Min Acc (%),Max Acc (%),Sparsity (%),Sparsity Mean,Cluster 0 (%),Cluster 1 (%),Cluster 2 (%),N Seeds,_raw_accs,Goodness_Score
LAZAR,90.64 ± 0.00,0.9064,0.0,0.00 ± 0.00,0.0,0.00,100.00,0.70 ± 0.00,0.006999999999999999,N/A,N/A,N/A,1,[0.9064],0.66466
CAAFP,94.63 ± 0.00,0.9463,0.0,7.47 ± 0.00,0.0747,69.23,100.00,0.00 ± 0.00,0.0,94.69,92.75,97.14,1,[0.9463],0.65611
FEDCHAR,94.16 ± 0.00,0.9416,0.0,7.47 ± 0.00,0.0747,69.23,100.00,0.00 ± 0.00,0.0,94.69,92.75,97.14,1,[0.9416],0.6542300000000001
FLCAP,90.56 ± 0.00,0.9056,0.0,7.47 ± 0.00,0.0747,69.23,100.00,0.00 ± 0.00,0.0,94.69,92.75,97.14,1,[0.9056],0.63983
FEDMEF,34.74 ± 0.00,0.3474,0.0,13.75 ± 0.00,0.1375,55.56,100.00,69.96 ± 0.00,0.6995999999999999,N/A,N/A,N/A,1,[0.3474],0.60759
